"","Proposed.Management.Action","District","Scale","Costing.Certainty","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"186","F","Annan","1","Fairly Confident",0,2100,1
"187","F","Annan","3","Fairly Confident",2100,2100,1
"188","F","Argyll","2","Little Confidence",1e+06,1e+06,2
"189","F","Argyll","5","Fairly Confident",0,NA,5
"190","F","Ayr","1","Estimate",1750000,1750000,1
"191","F","Ayr","3","Fairly Confident",42906,42906,2
"192","F","Ayr","4","Very Confident",169300,169300,3
"193","F","Beauly","4","",NA,700,1
"194","F","Bladnoch","1","Estimate",30000,43333.3333333333,3
"195","F","Bladnoch","1","Very Confident",0,2000,1
"196","F","Bladnoch","3","Estimate",0,2000,1
"197","F","Brora","1","",NA,NA,1
"198","F","Brora","1","Little Confidence",10000,15250,3
"199","F","Caithness","4","Fairly Confident",0,3000,1
"200","F","Clyde","1","Estimate",1e+05,205000,1
"201","F","Cree","3","N/A",NA,NA,1
"202","F","Cromarty","1","Estimate",2000,2250,1
"203","F","Cromarty","1","Fairly Confident",0,101250,2
"204","F","Cromarty","1","Very Confident",0,20950,2
"205","F","Cromarty","3","N/A",0,NA,1
"206","F","Dee","1","Very Confident",0,297408,1
"207","F","Dee","4","Estimate",5e+06,5e+06,1
"208","F","Dee (Kircudbright)","3","Fairly Confident",0,40000,1
"209","F","Dee (Kircudbright)","3","Very Confident",0,180000,1
"210","F","Deveron","1","Little Confidence",36250,45900,4
"211","F","Don","4","Estimate",5e+06,5004250,1
"212","F","Doon","1","Fairly Confident",27500,58000,1
"213","F","Doon","1","N/A",20000,20000,1
"214","F","Doon","1","Very Confident",0,29500,1
"215","F","Doon","3","Estimate",5e+05,5e+05,1
"216","F","Doon","5","Estimate",84000,168000,1
"217","F","Esk","4","Estimate",NA,56000,3
"218","F","Esk","4","N/A",NA,NA,3
"219","F","Fleet (Kircudbright)","1","Fairly Confident",25000,30000,1
"220","F","Fleet (Kircudbright)","3","Fairly Confident",5000,5000,1
"221","F","Forth","1","N/A",0,NA,1
