,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
133,Collaboration,Forth,Whole District,N/A,0,NA,1
134,Collaboration,Kyle of Sutherland,River,Estimate,6860227,6860227,1
135,Collaboration,Kyle of Sutherland,Catchment,,0,NA,1
136,Collaboration,Kyle of Sutherland,Whole District,Very Confident,7000,17000,1
137,Collaboration,Lochaber,Targeted Location,Fairly Confident,0,NA,2
138,Collaboration,Ness,Coastal,N/A,NA,NA,1
139,Collaboration,Ness,Coastal,Very Confident,0,70000,1
140,Collaboration,Ness,River,Very Confident,0,5.00E+05,1
141,Collaboration,Ness,Catchment,Very Confident,0,6500,1
142,Collaboration,Nith,Whole District,Very Confident,0,1.00E+05,1
143,Collaboration,Northern,Targeted Location,Estimate,NA,NA,1
144,Collaboration,Spey,Targeted Location,Estimate,2.00E+05,2.00E+05,1
145,Collaboration,Ugie,Whole District,Very Confident,0,5000,1
146,Collaboration,West Sutherland,Coastal,Fairly Confident,883.3333333,8100,3
147,Collaboration,West Sutherland,River,,0,NA,4
148,Collaboration,Western Isles,Targeted Location,Little Confidence,750000,750000,1
149,Enforcement,Annan,Whole District,Fairly Confident,0,5000,1
150,Enforcement,Ayr,Whole District,Very Confident,5000,10000,1
151,Enforcement,Beauly,Whole District,,NA,82000,1
152,Enforcement,Brora,Coastal,N/A,0,NA,1
153,Enforcement,Brora,Catchment,Fairly Confident,0,60000,1
154,Enforcement,Clyde,Catchment,Estimate,1.00E+05,275000,1
155,Enforcement,Cree,Whole District,N/A,NA,NA,1
156,Enforcement,Dee,Whole District,Very Confident,25000,161160,1
157,Enforcement,Deveron,Targeted Location,Fairly Confident,20000,20000,1
158,Enforcement,Deveron,Coastal,Very Confident,0,713,1
159,Enforcement,Deveron,River,Very Confident,0,23758,1
160,Enforcement,Deveron,Catchment,N/A,0,1248,1
161,Enforcement,Deveron,Catchment,Very Confident,0,1684,1
162,Enforcement,Don,Whole District,Very Confident,25000,80580,1
163,Enforcement,Doon,Whole District,Very Confident,0,2500,1
