,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
813,Water Flow Management,Ayr,Targeted Location,Estimate,804000,1608000,1
814,Water Flow Management,Beauly,River,,NA,500,1
815,Water Flow Management,Beauly,Catchment,,NA,1400,1
816,Water Flow Management,Bladnoch,Targeted Location,Fairly Confident,0,700,1
817,Water Flow Management,Bladnoch,River,N/A,0,NA,1
818,Water Flow Management,Brora,Targeted Location,N/A,0,NA,1
819,Water Flow Management,Clyde,Catchment,Estimate,65000,135000,1
820,Water Flow Management,Dee,Targeted Location,Very Confident,0,297408,1
821,Water Flow Management,Dee,Catchment,Estimate,5.00E+06,5.00E+06,1
822,Water Flow Management,Dee (Kircudbright),River,Fairly Confident,0,2000,1
823,Water Flow Management,Don,Catchment,Estimate,5.00E+06,5004250,1
824,Water Flow Management,Doon,Whole District,N/A,NA,NA,1
825,Water Flow Management,Findhorn,Catchment,N/A,NA,NA,1
826,Water Flow Management,Findhorn,Whole District,N/A,NA,NA,2
827,Water Flow Management,Forth,River,Estimate,15000,20000,1
828,Water Flow Management,Forth,Catchment,Estimate,2110000,4220000,1
829,Water Flow Management,Forth,Whole District,N/A,0,NA,2
830,Water Flow Management,Lossie,Catchment,N/A,NA,NA,1
831,Water Flow Management,Lossie,Whole District,N/A,NA,NA,2
832,Water Flow Management,Nairn,Catchment,N/A,NA,NA,1
833,Water Flow Management,Nairn,Whole District,N/A,NA,NA,2
834,Water Flow Management,Ness,River,Estimate,20400,20400,5
835,Water Flow Management,Ness,River,N/A,NA,NA,1
836,Water Flow Management,Ness,Catchment,Estimate,80000,80000,3
837,Water Flow Management,Spey,Targeted Location,Estimate,1.00E+06,1005000,1
838,Water Flow Management,Spey,River,Estimate,1.00E+05,120000,1
839,Water Flow Management,Tay,Targeted Location,N/A,NA,3500,1
840,Water Flow Management,Tay,River,Estimate,NA,503000,1
841,Water Flow Management,Tay,Catchment,Estimate,0,2000,1
842,Water Flow Management,Tweed,River,N/A,NA,NA,1
843,Engaging with Consultations,Caithness,Whole District,N/A,0,2666.666667,3
